id,label,indegree,outdegree,degree,modularity_class,weighted indegree,weighted outdegree,weighted degree,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,pageranks,clustering
15338,13303855,24,10,34,5,190,82,272,6,0.334478022,0.361909651,522.533406,0.003668829,0.210826218
15359,13114021,30,23,53,3,289,265,554,6,0.372894334,0.412628337,3923.514201,0.006008802,0.127777785
15367,13459678,4,9,13,3,26,66,92,6,0.349103943,0.375496235,72.95334216,9.38E-04,0.388888896
15476,4393651,25,30,55,1,282,319,601,5,0.393376414,0.437542779,2936.923617,0.004989469,0.187179491
15745,12959051,3,3,6,5,26,31,57,7,0.224114128,0.234863596,1464.9454,0.001586375,0
15893,11069673,5,7,12,3,46,69,115,6,0.342475387,0.367932923,112.4920826,0.001150557,0.214285716
15973,12299939,52,59,111,5,708,994,1702,5,0.450925926,0.508555784,15213.01458,0.010463957,0.106490381
15987,13019648,4,6,10,5,30,55,85,7,0.328388402,0.358130439,49.07457746,8.99E-04,0.06666667
16422,12845831,31,21,52,1,275,164,439,6,0.358351729,0.395927447,2193.36688,0.005297712,0.078828827
16626,12883947,12,18,30,1,103,136,239,6,0.347608851,0.38384668,1441.238227,0.002540905,0.242857143
16811,13042657,41,19,60,3,475,185,660,6,0.360473723,0.39705681,2758.536313,0.007118702,0.070847854
16817,3301786,13,17,30,1,134,167,301,5,0.359940872,0.395311431,1269.03941,0.003695333,0.27192983
16845,4136818,12,27,39,5,88,201,289,6,0.40617181,0.447638604,697.7784373,0.001882945,0.274712652
16881,10505956,4,7,11,5,27,58,85,6,0.351878613,0.381211499,82.82048263,0.001071094,0.119047619
17102,13560805,4,10,14,3,30,120,150,6,0.366440933,0.39650924,75.52780675,8.23E-04,0.309090912
17238,13221619,7,8,15,3,51,66,117,6,0.341994382,0.369815195,203.3711047,0.001677034,0.111111112
